source,major_category,subcategory,interface,interface_name,enabled,total_count,pending_count,partial_count,error_count,supports_backfill,backfill_mode,input_params,input_param_details,analysis_date_params,analysis_basis,analysis_doc_id,analysis_doc_url,runtime_supports_backfill,runtime_backfill_mode,runtime_backfill_logic,latest_problem_date,latest_problem_status,latest_error,failure_reason,slow_reason,backfill_logic,iface_type
tushare,债券专题,柜台流通式债券报价,bc_otcqt,柜台流通式债券报价,1,322,0,0,0,True,range,"trade_date, start_date, end_date, ts_code, bank",trade_date(交易日期(YYYYMMDD格式，下同))；start_date(开始日期)；end_date(结束日期)；ts_code(TS代码)；bank(报价机构),"trade_date, start_date, end_date",tushare_docs,322,https://tushare.pro/document/2?doc_id=322,True,range,"官网输入参数含 start_date/end_date；参数=trade_date, start_date, end_date, ts_code, bank；按区间回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=trade_date, start_date, end_date, ts_code, bank；按区间回补",TushareCatalogInterface
tushare,股票数据,特色数据,block_trade,大宗交易,1,320,0,0,0,True,range,"ts_code, trade_date, start_date, end_date",ts_code(TS代码（股票代码和日期至少输入一个参数）)；trade_date(交易日期（格式：YYYYMMDD，下同）)；start_date(开始日期)；end_date(结束日期),"trade_date, start_date, end_date",tushare_docs,161,https://tushare.pro/document/2?doc_id=161,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",2026-04-30,success,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,行业经济,TMT行业,bo_cinema,影院日度票房,0,5,0,0,0,True,date,date,date(日期(格式:YYYYMMDD)),date,tushare_docs,116,https://tushare.pro/document/2?doc_id=116,True,date,官网输入参数含日期字段 date；参数=date；按单日期回补,2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按日期逐次回补；吞吐受日期跨度和接口配额影响,官网输入参数含日期字段 date；参数=date；按单日期回补,TushareCatalogInterface
tushare,行业经济,TMT行业,bo_daily,电影日度票房,0,5,0,0,0,True,date,date,date(日期 （格式YYYYMMDD）),date,tushare_docs,115,https://tushare.pro/document/2?doc_id=115,True,date,官网输入参数含日期字段 date；参数=date；按单日期回补,2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按日期逐次回补；吞吐受日期跨度和接口配额影响,官网输入参数含日期字段 date；参数=date；按单日期回补,TushareCatalogInterface
tushare,行业经济,电影数据,bo_monthly,电影月度票房,1,322,0,317,0,True,date,date,date(日期（每月1号，格式YYYYMMDD）),date,tushare_docs,113,https://tushare.pro/document/2?doc_id=113,True,date,官网输入参数含日期字段 date；参数=date；按单日期回补,2026-04-30,partial,Permission or parameter error — interface unavailable,Permission or parameter error — interface unavailable,按日期逐次回补；吞吐受日期跨度和接口配额影响,官网输入参数含日期字段 date；参数=date；按单日期回补,TushareBoxOfficeMonthlyInterface
tushare,行业经济,电影数据,bo_weekly,电影周票房,1,322,0,317,0,True,date,date,date(日期（每周一日期，格式YYYYMMDD）),date,tushare_docs,114,https://tushare.pro/document/2?doc_id=114,True,date,官网输入参数含日期字段 date；参数=date；按单日期回补,2026-04-30,partial,Permission or parameter error — interface unavailable,Permission or parameter error — interface unavailable,按日期逐次回补；吞吐受日期跨度和接口配额影响,官网输入参数含日期字段 date；参数=date；按单日期回补,TushareBoxOfficeWeeklyInterface
tushare,债券专题,大宗交易,bond_blk,大宗交易,0,0,0,0,0,True,range,"ts_code, trade_date, start_date, end_date",ts_code(债券代码)；trade_date(交易日期（YYYYMMDD格式，下同）)；start_date(开始日期)；end_date(结束日期),"trade_date, start_date, end_date",tushare_docs,271,https://tushare.pro/document/2?doc_id=271,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",,,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,债券专题,大宗交易明细,bond_blk_detail,大宗交易明细,0,0,0,0,0,True,range,"ts_code, trade_date, start_date, end_date",ts_code(债券代码)；trade_date(交易日期（YYYYMMDD格式，下同）)；start_date(开始日期)；end_date(结束日期),"trade_date, start_date, end_date",tushare_docs,272,https://tushare.pro/document/2?doc_id=272,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",,,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,股票数据,特色数据,broker_recommend,券商月度金股,0,0,0,0,0,True,other,month,month(月度（YYYYMM）),,tushare_docs,267,https://tushare.pro/document/2?doc_id=267,True,code,官网输入参数不含日期字段；参数=ts_code；按代码维度回补/同步,,,,,接口不提供标准代码/日期回补轴；通常需要额外条件或一次性同步策略,官网输入参数不提供代码或日期回补轴；参数=month；归类为其他回补方式,TushareCatalogInterface
tushare,股票数据,基础数据,bse_mapping,北交所新旧代码对照,1,322,0,0,0,True,code,"o_code, n_code",o_code(旧代码)；n_code(新代码),,tushare_docs,375,https://tushare.pro/document/2?doc_id=375,True,code,"官网输入参数不含日期字段；参数=o_code, n_code；按代码维度回补/同步",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按代码逐个回补/同步；吞吐受标的数量和接口配额影响,"官网输入参数不要求日期字段；参数=o_code, n_code；按代码维度回补/同步",TushareCatalogInterface
tushare,股票数据,财务数据,cashflow,现金流量表,1,320,0,41,0,True,range,"ts_code, ann_date, f_ann_date, start_date, end_date, period, report_type, comp_type, is_calc",ts_code(股票代码)；ann_date(公告日期（YYYYMMDD格式，下同）)；f_ann_date(实际公告日期)；start_date(公告日开始日期)；end_date(公告日结束日期)；period(报告期(每个季度最后一天的日期，比如20171231表示年报，20170630半年报，20170930三季报))；report_type(报告类型：见下方详细说明)；comp_type(公司类型：1一般工商业 2银行 3保险 4证券)；is_calc(是否计算报表),"ann_date, f_ann_date, start_date, end_date",tushare_docs,44,https://tushare.pro/document/2?doc_id=44,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, f_ann_date, start_date, end_date, period, report_type, comp_type, is_calc；按区间回补",2026-04-16,partial,必填参数,必填参数,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, f_ann_date, start_date, end_date, period, report_type, comp_type, is_calc；按区间回补",TusharePerSymbolDateCatalogInterface
tushare,债券专题,可转债数据,cb_basic,可转债基础信息,1,322,0,0,0,True,date,"ts_code, list_date, exchange",ts_code(转债代码)；list_date(上市日期)；exchange(上市交易所),list_date,tushare_docs,185,https://tushare.pro/document/2?doc_id=185,True,date,"官网输入参数含日期字段 list_date；参数=ts_code, list_date, exchange；按单日期回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按日期逐次回补；吞吐受日期跨度和接口配额影响,"官网输入参数含日期字段 list_date；参数=ts_code, list_date, exchange；按单日期回补",TushareCatalogInterface
tushare,债券专题,可转债赎回信息,cb_call,可转债赎回信息,1,322,0,0,0,True,range,"ts_code, ann_date, start_date, end_date",ts_code(转债代码，支持多值输入)；ann_date(公告日期(YYYYMMDD格式，下同))；start_date(公告开始日期)；end_date(公告结束日期),"ann_date, start_date, end_date",tushare_docs,269,https://tushare.pro/document/2?doc_id=269,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date；按区间回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,债券专题,可转债数据,cb_daily,可转债日线数据,1,321,0,0,0,True,code,ts_code,ts_code(转债代码，支持多值输入),,tushare_docs,458,https://tushare.pro/document/2?doc_id=458,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",2026-04-30,success,,,按代码逐个回补/同步；吞吐受标的数量和接口配额影响,官网输入参数不要求日期字段；参数=ts_code；按代码维度回补/同步,TushareCatalogInterface
tushare,债券专题,可转债技术面因子(专业版),cb_factor_pro,可转债技术面因子(专业版),1,322,0,0,0,True,range,"ts_code, start_date, end_date, trade_date",ts_code(可转债代码)；start_date(开始日期)；end_date(结束日期)；trade_date(交易日期),"start_date, end_date, trade_date",tushare_docs,392,https://tushare.pro/document/2?doc_id=392,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, start_date, end_date, trade_date；按区间回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, start_date, end_date, trade_date；按区间回补",TushareCatalogInterface
tushare,债券专题,可转债数据,cb_issue,可转债发行数据,1,322,0,0,0,True,range,"ts_code, ann_date, start_date, end_date",ts_code(TS代码)；ann_date(发行公告日)；start_date(公告开始日期)；end_date(公告结束日期),"ann_date, start_date, end_date",tushare_docs,186,https://tushare.pro/document/2?doc_id=186,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date；按区间回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,债券专题,可转债转股价变动,cb_price_chg,可转债转股价变动,0,0,0,0,0,True,code,ts_code,ts_code(转债代码，支持多值输入),,tushare_docs,246,https://tushare.pro/document/2?doc_id=246,True,code,官网输入参数不含日期字段；参数=ts_code；按代码维度回补/同步,,,,,按代码逐个回补/同步；吞吐受标的数量和接口配额影响,官网输入参数不要求日期字段；参数=ts_code；按代码维度回补/同步,TushareCatalogInterface
tushare,债券专题,可转债票面利率,cb_rate,可转债票面利率,1,322,0,7,311,True,code,ts_code,ts_code(转债代码，支持多值输入),,tushare_docs,305,https://tushare.pro/document/2?doc_id=305,True,code,官网输入参数不含日期字段；参数=ts_code；按代码维度回补/同步,2026-04-30,error,Dynamic Tushare table cb_rate requires inferred column_specs and key_columns,Dynamic Tushare table cb_rate requires inferred column_specs and key_columns,按代码逐个回补/同步；吞吐受标的数量和接口配额影响,官网输入参数不要求日期字段；参数=ts_code；按代码维度回补/同步,TushareCatalogInterface
tushare,债券专题,可转债债券评级,cb_rating,可转债债券评级,1,322,0,314,0,True,code,ts_code,ts_code(转债代码，支持多值输入),,tushare_docs,458,https://tushare.pro/document/2?doc_id=458,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date；按区间回补",2026-04-27,partial,"必填参数, ts_code","必填参数, ts_code",按代码逐个回补/同步；吞吐受标的数量和接口配额影响,官网输入参数不要求日期字段；参数=ts_code；按代码维度回补/同步,TusharePerSymbolDateCatalogInterface
tushare,债券专题,可转债数据,cb_share,可转债待发,1,322,0,0,0,True,range,"ts_code, ann_date, start_date, end_date",ts_code(转债代码，支持多值输入)；ann_date(公告日期（YYYYMMDD格式，下同）)；start_date(公告开始日期)；end_date(公告结束日期),"ann_date, start_date, end_date",tushare_docs,247,https://tushare.pro/document/2?doc_id=247,True,code,官网输入参数不含日期字段；参数=ts_code；按代码维度回补/同步,2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, ann_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,股票数据,特色数据,ccass_hold,中央结算系统持股统计,1,322,0,0,0,True,range,"ts_code, hk_code, trade_date, start_date, end_date",ts_code(股票代码 (e.g. 605009.SH))；hk_code(港交所代码 （e.g. 95009）)；trade_date(交易日期(YYYYMMDD格式，下同))；start_date(开始日期)；end_date(结束日期),"trade_date, start_date, end_date",tushare_docs,274,https://tushare.pro/document/2?doc_id=274,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, hk_code, trade_date, start_date, end_date；按区间回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, hk_code, trade_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,股票数据,特色数据,ccass_hold_detail,中央结算系统持股明细,0,0,0,0,0,True,range,"ts_code, hk_code, trade_date, start_date, end_date",ts_code(股票代码 (e.g. 605009.SH))；hk_code(港交所代码 （e.g. 95009）)；trade_date(交易日期(YYYYMMDD格式，下同))；start_date(开始日期)；end_date(结束日期),"trade_date, start_date, end_date",tushare_docs,274,https://tushare.pro/document/2?doc_id=274,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, hk_code, trade_date, start_date, end_date；按区间回补",,,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, hk_code, trade_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,资讯数据,新闻联播,cctv_news,新闻联播,0,0,0,0,0,True,date,date,date(日期（输入格式：YYYYMMDD 比如：20181211）),date,tushare_docs,154,https://tushare.pro/document/2?doc_id=154,True,date,官网输入参数含日期字段 date；参数=date；按单日期回补,,,,,按日期逐次回补；吞吐受日期跨度和接口配额影响,官网输入参数含日期字段 date；参数=date；按单日期回补,TushareCatalogInterface
tushare,指数数据,中信行业指数日行情,ci_daily,中信行业指数日行情,1,322,0,0,0,True,range,"ts_code, trade_date, start_date, end_date",ts_code(行业代码)；trade_date(交易日期（YYYYMMDD格式，下同）)；start_date(开始日期)；end_date(结束日期),"trade_date, start_date, end_date",tushare_docs,308,https://tushare.pro/document/2?doc_id=308,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,指数数据,中信行业成分,ci_index_member,中信行业成分,1,322,0,0,0,True,code,"l1_code, l2_code, l3_code, ts_code, is_new",l1_code(一级行业代码)；l2_code(二级行业代码)；l3_code(三级行业代码)；ts_code(股票代码)；is_new(是否最新（默认为“Y是”）),,tushare_docs,373,https://tushare.pro/document/2?doc_id=373,True,code,"官网输入参数不含日期字段；参数=l1_code, l2_code, l3_code, ts_code, is_new；按代码维度回补/同步",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,按代码逐个回补/同步；吞吐受标的数量和接口配额影响,"官网输入参数不要求日期字段；参数=l1_code, l2_code, l3_code, ts_code, is_new；按代码维度回补/同步",TushareCatalogInterface
tushare,宏观经济,国内宏观,cn_cpi,居民消费价格指数（CPI）,1,322,0,0,0,True,other,"m, start_m, end_m",m(月份（YYYYMM，下同），支持多个月份同时输入，逗号分隔)；start_m(开始月份)；end_m(结束月份),,tushare_docs,228,https://tushare.pro/document/2?doc_id=228,True,code,"官网输入参数不含日期字段；参数=m, start_m, end_m；按代码维度回补/同步",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,接口不提供标准代码/日期回补轴；通常需要额外条件或一次性同步策略,"官网输入参数不提供代码或日期回补轴；参数=m, start_m, end_m；归类为其他回补方式",TushareCatalogInterface
tushare,宏观经济,国内宏观,cn_gdp,国内生产总值（GDP）,1,322,0,0,0,True,other,"q, start_q, end_q, fields","q(季度（2019Q1表示，2019年第一季度）)；start_q(开始季度)；end_q(结束季度)；fields(指定输出字段（e.g. fields='quarter,gdp,gdp_yoy'）)",,tushare_docs,227,https://tushare.pro/document/2?doc_id=227,True,code,"官网输入参数不含日期字段；参数=q, start_q, end_q, fields；按代码维度回补/同步",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,接口不提供标准代码/日期回补轴；通常需要额外条件或一次性同步策略,"官网输入参数不提供代码或日期回补轴；参数=q, start_q, end_q, fields；归类为其他回补方式",TushareCatalogInterface
tushare,宏观经济,国内宏观,cn_m,货币供应量（月）,1,322,0,0,0,True,other,"m, start_m, end_m, fields","m(月度（202001表示，2020年1月）)；start_m(开始月度)；end_m(结束月度)；fields(指定输出字段（e.g. fields='month,m0,m1,m2'）)",,tushare_docs,242,https://tushare.pro/document/2?doc_id=242,True,code,"官网输入参数不含日期字段；参数=m, start_m, end_m, fields；按代码维度回补/同步",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,接口不提供标准代码/日期回补轴；通常需要额外条件或一次性同步策略,"官网输入参数不提供代码或日期回补轴；参数=m, start_m, end_m, fields；归类为其他回补方式",TushareCatalogInterface
tushare,宏观经济,国内宏观,cn_pmi,采购经理指数（PMI）,1,322,0,0,23,True,other,"m, start_m, end_m","m(月度（202401表示，2024年1月）)；start_m(开始月度)；end_m(结束月度（e.g. fields='month,pmi010000,pmi010400'）)",,tushare_docs,325,https://tushare.pro/document/2?doc_id=325,True,code,"官网输入参数不含日期字段；参数=m, start_m, end_m；按代码维度回补/同步",2026-04-13,error,"(pymysql.err.IntegrityError) (1062, ""Duplicate entry '2026-04-15 13:31:13' for key 'cn_pmi.ux_cn_pmi_update_time'"")
[SQL: ALTER TABLE `cn_pmi` ADD UNIQUE KEY `ux_cn_pmi_update_time` (`update_time`)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)","(pymysql.err.IntegrityError) (1062, ""Duplicate entry '2026-04-15 13:31:13' for key 'cn_pmi.ux_cn_pmi_update_time'"")
[SQL: ALTER TABLE `cn_pmi` ADD UNIQUE KEY `ux_cn_pmi_update_time` (`update_time`)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)",接口不提供标准代码/日期回补轴；通常需要额外条件或一次性同步策略,"官网输入参数不提供代码或日期回补轴；参数=m, start_m, end_m；归类为其他回补方式",TushareCatalogInterface
tushare,宏观经济,国内宏观,cn_ppi,工业生产者出厂价格指数（PPI）,1,322,0,0,0,True,other,"m, start_m, end_m",m(月份（YYYYMM，下同），支持多个月份同时输入，逗号分隔)；start_m(开始月份)；end_m(结束月份),,tushare_docs,245,https://tushare.pro/document/2?doc_id=245,True,code,"官网输入参数不含日期字段；参数=m, start_m, end_m；按代码维度回补/同步",2026-04-26,success,Skipped historical backfill for non-historical interface,Skipped historical backfill for non-historical interface,接口不提供标准代码/日期回补轴；通常需要额外条件或一次性同步策略,"官网输入参数不提供代码或日期回补轴；参数=m, start_m, end_m；归类为其他回补方式",TushareCatalogInterface
tushare,大模型语料,数据标注,concept_corpus,概念股语料,0,0,0,0,0,True,other,,,,runtime_fallback,,,True,code,官网输入参数不含日期字段；参数=ts_code；按代码维度回补/同步,,,,,接口不提供标准代码/日期回补轴；通常需要额外条件或一次性同步策略,官网输入参数不提供代码或日期回补轴；参数=未解析到参数；归类为其他回补方式,TushareCatalogInterface
tushare,股票数据,特色数据,cyq_chips,筹码分布,1,320,3,4,0,True,range,"ts_code, trade_date, start_date, end_date",ts_code(股票代码)；trade_date(交易日期（YYYYMMDD）)；start_date(开始日期)；end_date(结束日期),"trade_date, start_date, end_date",tushare_docs,294,https://tushare.pro/document/2?doc_id=294,True,date,"官网输入参数含日期字段 trade_date；参数=ts_code, trade_date；按单日期回补",2026-03-18,pending,抱歉，您访问接口(cyq_chips)频率超限(100000次/天)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,抱歉，您访问接口(cyq_chips)频率超限(100000次/天)，具体频次详情：https://tushare.pro/document/1?doc_id=108。,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",TushareCyqChipsInterface
tushare,股票数据,特色数据,cyq_perf,每日筹码及胜率,1,320,0,0,0,True,range,"ts_code, trade_date, start_date, end_date",ts_code(股票代码)；trade_date(交易日期（YYYYMMDD）)；start_date(开始日期)；end_date(结束日期),"trade_date, start_date, end_date",tushare_docs,293,https://tushare.pro/document/2?doc_id=293,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",2026-04-30,success,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",TushareCatalogInterface
tushare,股票数据,行情数据,daily_basic,每日指标数据,1,320,0,0,0,True,range,"ts_code, trade_date, start_date, end_date",ts_code(股票代码（二选一）)；trade_date(交易日期 （二选一）)；start_date(开始日期(YYYYMMDD))；end_date(结束日期(YYYYMMDD)),"trade_date, start_date, end_date",tushare_docs,32,https://tushare.pro/document/2?doc_id=32,True,range,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",2026-04-30,success,,,按区间回补；单次任务扫描窗口较长，吞吐受窗口跨度和配额影响,"官网输入参数含 start_date/end_date；参数=ts_code, trade_date, start_date, end_date；按区间回补",TushareCatalogInterface
